name,ra,dec,diameter,mag,alias,minorDiameter,anglePA
PGC 17223,80.894167,-69.756111,645.654,15.00,,549.541,170.0
PGC 3085,13.158333,-72.800278,316.228,15.00,,234.423,45.0
PGC 2557,10.684583,41.269444,199.526,15.00,,70.795,35.0
PGC 3589,15.038750,-33.709167,63.096,15.00,,48.978,100.0
PGC 5818,23.462500,30.660278,60.256,15.00,,35.481,22.0
PGC 10074,39.997083,-34.449167,56.234,15.00,,43.652,51.0
PGC 46490,199.957500,-27.409444,51.286,15.00,,15.136,147.0
PGC 60095,260.051250,57.915278,42.658,15.00,,31.623,0.0
PGC 54074,227.297083,67.212778,34.674,15.00,,19.055,64.0
PGC 1014,3.785000,-39.220278,32.359,15.00,,3.981,101.0
PGC 2789,11.887500,-25.288333,28.840,15.00,,5.888,53.0
PGC 46957,201.365417,-43.019167,25.704,15.00,,17.783,33.0
PGC 19441,100.402917,-50.966111,23.988,15.00,,18.621,70.0
PGC 13826,56.704583,68.096667,21.878,15.00,,20.893,0.0
PGC 50063,210.801667,54.348056,21.878,15.00,,20.893,0.0
PGC 21396,114.211250,65.602500,21.380,15.00,,10.715,126.0
PGC 28630,148.892083,69.066389,21.380,15.00,,10.233,157.0
PGC 3238,13.723750,-37.682500,20.893,15.00,,13.490,114.0
PGC 39346,184.179583,69.464167,20.893,15.00,,6.166,162.0
PGC 2758,11.785833,-20.760556,20.417,15.00,,5.129,165.0
PGC 45279,196.358750,-49.470833,20.417,15.00,,4.266,43.0
PGC 59400,254.962917,-0.533333,19.055,15.00,,12.589,0.0
PGC 2429,10.092917,41.685833,18.621,15.00,,10.471,170.0
PGC 29128,150.777500,-26.158889,18.197,15.00,,3.311,94.0
PGC 39600,184.739583,47.303889,17.783,15.00,,6.918,0.0
PGC 8378,32.853333,-40.290833,17.378,15.00,,11.220,81.0
PGC 62836,287.438333,-63.856111,17.378,15.00,,10.965,16.0
PGC 2357,9.824583,0.912500,16.218,15.00,,10.965,24.0
PGC 34176,168.367083,22.152778,15.849,15.00,,13.490,0.0
PGC 39422,184.375417,37.808333,15.849,15.00,,6.310,41.0
PGC 3844,16.225833,2.133333,15.136,15.00,,13.490,0.0
PGC 42038,189.088333,25.985278,13.804,15.00,,2.188,135.0
PGC 48082,204.250833,-29.867778,13.804,15.00,,12.882,0.0
PGC 63616,296.240833,-14.803056,13.804,15.00,,12.882,0.0
PGC 42637,190.532083,32.540833,13.490,15.00,,2.455,86.0
PGC 12651,50.672917,-37.207778,13.183,15.00,,8.318,50.0
PGC 46153,198.955000,42.029444,13.183,15.00,,7.943,102.0
PGC 34697,170.070000,13.591111,12.882,15.00,,3.388,104.0
PGC 2004,8.298750,48.506944,12.589,15.00,,7.079,25.0
PGC 9031,35.637917,42.348889,12.303,15.00,,2.455,22.0
PGC 14638,63.015000,-32.875833,12.303,15.00,,3.631,33.0
PGC 30819,157.089583,68.411389,12.023,15.00,,5.495,50.0
PGC 46525,200.069583,-21.826944,12.023,15.00,,2.754,77.0
PGC 2329,9.739167,48.337500,11.482,15.00,,9.550,35.0
PGC 27077,143.040417,21.500556,11.482,15.00,,5.248,23.0
PGC 40596,186.454167,33.546944,11.482,15.00,,4.266,134.0
PGC 43495,192.719167,41.119167,11.482,15.00,,10.000,105.0
PGC 47847,203.697083,-45.547500,11.482,15.00,,1.738,113.0
PGC 65001,308.719583,60.153889,11.482,15.00,,10.715,0.0
PGC 143,0.493750,-15.461389,11.220,15.00,,3.715,2.0
PGC 54470,228.967083,56.329444,11.220,15.00,,1.413,156.0
PGC 29488,152.117083,12.306389,10.965,15.00,,7.943,80.0
PGC 34554,169.567500,-32.811944,10.965,15.00,,4.786,161.0
PGC 41220,187.444583,7.999722,10.965,15.00,,8.913,157.0
PGC 54392,228.556250,-46.810000,10.965,15.00,,1.738,54.0
PGC 13179,53.402083,-36.138056,10.715,15.00,,6.310,5.0
PGC 28655,148.967500,69.680278,10.715,15.00,,5.012,65.0
PGC 29220,151.132500,60.107778,10.715,15.00,,10.715,0.0
PGC 9332,36.820000,33.579167,10.471,15.00,,5.754,102.0
PGC 12209,49.322917,-41.107778,10.471,15.00,,8.128,156.0
PGC 40653,186.550417,12.945556,10.471,15.00,,7.586,127.0
PGC 69327,339.267500,34.416389,10.471,15.00,,4.169,171.0
PGC 42002,188.990833,27.959444,10.233,15.00,,4.365,150.0
PGC 10488,41.578750,-30.272500,10.000,15.00,,6.166,140.0
PGC 33550,166.453333,-0.035000,10.000,15.00,,4.786,164.0
PGC 41618,188.190000,0.114722,10.000,15.00,,1.549,86.0
PGC 47404,202.467917,47.194444,10.000,15.00,,7.586,163.0
PGC 73049,359.455833,-32.590000,10.000,15.00,,6.026,84.0
PGC 27978,146.413750,-31.191111,9.772,15.00,,6.918,97.0
PGC 42089,189.208333,13.162778,9.772,15.00,,4.365,23.0
PGC 43451,192.610833,25.500556,9.772,15.00,,6.761,32.0
PGC 44182,194.182500,21.683333,9.772,15.00,,4.898,115.0
PGC 15488,68.199167,71.879444,9.550,15.00,,1.622,22.0
PGC 39028,183.451250,14.899444,9.550,15.00,,2.291,152.0
PGC 45948,198.364583,36.593333,9.550,15.00,,4.074,171.0
PGC 46674,200.490417,-36.629722,9.550,15.00,,3.388,49.0
PGC 5974,24.174167,15.783333,9.333,15.00,,8.710,0.0
PGC 12286,49.564167,-66.497500,9.333,15.00,,7.244,39.0
PGC 2555,10.674167,40.866111,9.120,15.00,,6.310,170.0
PGC 41361,187.705000,12.391389,9.120,15.00,,7.943,0.0
PGC 42863,190.992500,32.170556,9.120,15.00,,1.202,35.0
PGC 43733,193.232500,11.232222,9.120,15.00,,3.020,32.0
PGC 71220,350.527083,40.845833,9.120,15.00,,1.778,167.0
PGC 40914,186.941250,13.008889,8.913,15.00,,5.012,0.0
PGC 24930,133.173750,33.419444,8.710,15.00,,2.570,44.0
PGC 1851,7.592083,-33.245556,8.511,15.00,,1.905,50.0
PGC 14897,65.001250,-54.938333,8.511,15.00,,5.370,32.0
PGC 34695,170.062500,12.989167,8.511,15.00,,3.802,173.0
PGC 42407,189.997083,-11.623056,8.511,15.00,,5.012,90.0
PGC 34612,169.732083,13.092222,8.318,15.00,,2.138,174.0
PGC 39225,183.912917,36.328056,8.318,15.00,,6.761,0.0
PGC 26512,140.508333,50.977778,8.128,15.00,,3.981,147.0
PGC 47394,202.453333,-17.965833,8.128,15.00,,1.175,125.0
PGC 67045,324.118750,-54.557500,8.128,15.00,,1.549,128.0
PGC 71775,353.614167,-36.101944,8.128,15.00,,7.762,0.0
PGC 4801,20.027917,3.415556,7.943,15.00,,6.310,75.0
PGC 13727,56.132917,-44.643889,7.943,15.00,,1.738,40.0
PGC 39246,183.976250,13.150000,7.943,15.00,,1.862,19.0
PGC 41772,188.512917,7.699167,7.943,15.00,,2.818,163.0
PGC 42831,190.917083,11.552222,7.943,15.00,,6.607,104.0
PGC 97267,348.379583,50.435556,7.943,15.00,,4.266,176.0
PGC 23324,124.766250,70.719167,7.762,15.00,,5.623,15.0
PGC 29050,150.493750,55.680556,7.762,15.00,,1.259,165.0
PGC 29265,151.308750,-7.718611,7.762,15.00,,3.981,15.0
PGC 34030,167.875833,55.673333,7.762,15.00,,2.692,79.0
PGC 40515,186.350833,18.190833,7.762,15.00,,6.026,0.0
PGC 41517,187.997083,14.420278,7.762,15.00,,4.571,138.0
PGC 42734,190.708333,2.687778,7.762,15.00,,5.888,150.0
PGC 10123,40.099583,39.063056,7.586,15.00,,2.884,87.0
PGC 13418,54.620417,-35.449444,7.586,15.00,,6.918,0.0
PGC 23997,128.343750,-22.973333,7.586,15.00,,1.698,114.0
PGC 40153,185.728750,15.821944,7.586,15.00,,6.761,170.0
PGC 16779,76.927917,-37.514444,7.413,15.00,,3.388,136.0
PGC 30197,154.978750,45.550000,7.413,15.00,,2.344,10.0
PGC 41823,188.611667,2.188889,7.413,15.00,,3.090,108.0
PGC 50779,213.292500,-65.338889,7.413,15.00,,3.090,36.0
PGC 930,3.514167,-23.180833,7.244,15.00,,4.786,158.0
PGC 13434,54.715417,-26.336389,7.244,15.00,,5.129,100.0
PGC 30087,154.570833,41.423889,7.244,15.00,,7.079,0.0
PGC 32192,161.690417,11.819444,7.244,15.00,,4.786,5.0
PGC 37617,179.399583,53.376389,7.244,15.00,,4.786,78.0
PGC 46400,199.730000,-21.039444,7.244,15.00,,6.457,0.0
PGC 14391,60.977500,-43.350833,7.079,15.00,,3.631,58.0
